Wall time,Step,Value
1562723529.197235,2000,0.0
1562724352.561095,4000,0.0
1562724745.409776,6000,0.0
1562725087.538752,8000,0.05000000074505806
1562726105.053176,10000,0.0
1562726580.190795,12000,0.05000000074505806
1562726938.217108,14000,0.05000000074505806
1562727384.607888,16000,0.0
1562727862.21957,18000,0.10000000149011612
1562728250.399007,20000,0.05000000074505806
1562728732.120467,22000,0.05000000074505806
1562729146.097572,24000,0.05000000074505806
1562729569.904586,26000,0.05000000074505806
1562729882.128408,28000,0.0
1562730311.143347,30000,0.0
1562730654.138167,32000,0.05000000074505806
1562731144.739742,34000,0.05000000074505806
1562732160.419218,36000,0.0
1562733179.928147,38000,0.0
1562734197.164864,40000,0.0
1562735214.438713,42000,0.0
1562736234.285409,44000,0.0
1562737252.420305,46000,0.0
1562738272.927146,48000,0.0
1562739290.605056,50000,0.0
1562740310.168943,52000,0.0
1562741326.413313,54000,0.0
1562742344.393587,56000,0.0
1562743365.677837,58000,0.0
1562744385.731945,60000,0.0
1562745405.952963,62000,0.0
1562746426.209186,64000,0.0
1562747446.900787,66000,0.0
1562748468.383572,68000,0.0
1562749491.130534,70000,0.0
1562750514.399311,72000,0.0
1562751535.656311,74000,0.0
1562752556.313588,76000,0.0
1562753577.962757,78000,0.0
1562754599.902516,80000,0.0
1562755579.181195,82000,0.05000000074505806
1562756598.630414,84000,0.0
1562757619.45941,86000,0.0
1562758641.558055,88000,0.0
1562759662.471854,90000,0.0
1562760682.177904,92000,0.0
1562761704.46574,94000,0.0
1562762726.802286,96000,0.0
1562763747.51589,98000,0.0
1562764765.392704,100000,0.0
1562765785.895325,102000,0.0
1562766807.398803,104000,0.0
1562767827.717865,106000,0.0
1562768849.247903,108000,0.0
1562769870.308676,110000,0.0
1562770892.220649,112000,0.0
1562771913.874917,114000,0.0
1562772892.893278,116000,0.05000000074505806
1562773914.439089,118000,0.0
1562774935.52959,120000,0.0
1562775956.04512,122000,0.0
1562776977.538641,124000,0.0
1562777999.076755,126000,0.0
1562779020.390272,128000,0.0
1562780042.303775,130000,0.0
1562781063.24462,132000,0.0
1562782086.329372,134000,0.0
1562783109.819807,136000,0.0
1562784131.546623,138000,0.0
1562785156.428723,140000,0.0
1562786176.137927,142000,0.0
1562787192.578244,144000,0.0
1562788213.432655,146000,0.0
1562789237.664753,148000,0.0
1562790262.845106,150000,0.0
1562791283.759196,152000,0.0
1562792307.129435,154000,0.0
1562793330.670909,156000,0.0
1562794354.389006,158000,0.0
1562795376.661985,160000,0.0
1562796398.574957,162000,0.0
1562797422.094873,164000,0.0
1562798442.587338,166000,0.0
1562799464.735006,168000,0.0
1562800486.866086,170000,0.0
1562801509.175785,172000,0.0
1562802532.859494,174000,0.0
1562803556.222741,176000,0.0
1562804577.615815,178000,0.0
1562805600.586806,180000,0.0
1562806623.372979,182000,0.0
1562807646.005039,184000,0.0
1562808668.839919,186000,0.0
1562809692.4751,188000,0.0
1562810716.135833,190000,0.0
1562811739.912146,192000,0.0
1562812763.747621,194000,0.0
1562813788.788091,196000,0.0
1562814811.396754,198000,0.0
1562815836.617811,200000,0.0
1562816816.252221,202000,0.05000000074505806
